Name,Latitude,Longitude
Unnamed,12.9024039 77.6863448,77.6861704
Unnamed,12.9200694 77.6670968,77.6670111
Unnamed,12.9195329 77.6684102,77.6681762
Unnamed,12.9244693 77.6401351,77.6400492
Unnamed,12.9146525 77.6760354,77.6760493
Unnamed,12.9136791 77.6521876,77.6520414
Unnamed,12.9190287 77.6680337,77.6681436
Unnamed,12.9145156 77.6668277,77.6667251
Unnamed,12.9181445 77.6715138,77.6713817
Unnamed,12.9178005 77.6722528,77.672108
Unnamed,12.9133272 77.6770126,77.6770662
Unnamed,12.9127961 77.6809653,77.6806615
Unnamed,12.9467034 77.6194036,77.6192239
Unnamed,12.9119032 77.6819151,77.6816953
Unnamed,12.9099868 77.6857313,77.6860154
Unnamed,12.9085231 77.683708,77.6836859
Unnamed,12.9085603 77.6836658,77.6835162
HSR Layout BDA Complex,12.914374 77.6378078,77.6372124
Unnamed,12.9383979 77.6266404,77.6262855
Unnamed,13.1282595 77.5616775,77.5616531
Unnamed,12.9316512 77.6841144,77.6835793
Unnamed,12.9564344 77.713128,77.7131333
Unnamed,12.956409 77.7130832,77.7134668
Unnamed,12.9719287 77.711734,77.7116831
Unnamed,12.8401798 77.6294857,77.6292819
Unnamed,12.9560307 77.7168165,77.7167548
Unnamed,12.9560202 77.7168427,77.7168393
Unnamed,12.9674723 77.7144349,77.7142297
Unnamed,12.9618747 77.7164569,77.7164657
Unnamed,12.9801172 77.6172369,77.6171958
Unnamed,12.9350928 77.5325561,77.5326405
Unnamed,12.935319 77.5353405,77.5353097
Unnamed,12.9806569 77.6301199,77.6300852
Unnamed,13.0096341 77.5529393,77.5527841
Mysore Road Metro Parking,12.9460614 77.5303824,77.5299864
Unnamed,12.9761403 77.6360565,77.6360204
Unnamed,12.8714816 77.6619501,77.6618344
Unnamed,12.8708095 77.6607792,77.6609766
Unnamed,12.909283 77.6878886,77.687667
Unnamed,12.9246136 77.4937552,77.492508
Unnamed,12.9224516 77.5060639,77.5058466
Unnamed,13.0426349 77.6514423,77.6509112
Unnamed,13.0299058 77.6514823,77.6512379
Unnamed,13.0354229 77.6535934,77.6524347
Unnamed,12.8906495 77.5856463,77.5856423
Unnamed,12.8888356 77.4536026,77.4530447
Unnamed,13.1503179 77.6089523,77.6090569
Unnamed,12.9843056 77.6950952,77.6946419
Unnamed,12.9876967 77.686366,77.6863405
Unnamed,13.0575848 77.592193,77.5928122
Unnamed,13.0552646 77.5926483,77.5931512
Unnamed,13.0541365 77.5910876,77.5910794
Unnamed,13.0508798 77.5955105,77.5958679
Unnamed,12.9381668 77.5157346,77.5160725
Unnamed,13.0167354 77.6363037,77.6363977
Unnamed,12.8492789 77.7702459,77.7700303
Unnamed,12.8622743 77.7703119,77.7705003
Unnamed,12.8800952 77.692345,77.6922763
Unnamed,13.0103385 77.549116,77.5490758
Unnamed,12.8933972 77.5816832,77.5812782
Unnamed,12.9746238 77.692002,77.6919246
Visitor's Parking,12.9732983 77.5662457,77.5661175
Unnamed,13.043313 77.5450069,77.5448003
Unnamed,12.9271599 77.5029317,77.5026526
Unnamed,13.0309257 77.6429719,77.6424542
Unnamed,13.0424465 77.6171234,77.616481
Unnamed,13.0421887 77.609647,77.609782
Metro Cash & Carry Parking,12.9268686 77.5022833,77.5025614
Poornima Palace Convention Center Parking,12.9261814 77.5019011,77.5014285
Nagasandra Metro Station Parking,13.0483046 77.4996153,77.5009929
Unnamed,12.8998789 77.6676562,77.668308
Unnamed,12.9092778 77.6637362,77.663822
Unnamed,12.9958262 77.5951937,77.5944936
Unnamed,12.8799515 77.5444503,77.5442129
Unnamed,12.9596709 77.6669079,77.6664707
Unnamed,12.9151546 77.6631132,77.6633953
Faculty Parking,12.9667335 77.7121688,77.7121018
Car Parking,12.9669387 77.7122694,77.7122574
Car Parking,12.9671478 77.7119851,77.7119744
Unnamed,12.8626053 77.4363095,77.4362032
Unnamed,12.8636702 77.4375379,77.4373619
SRR5,12.9272576 77.6846149,77.6846237
